spec,dB_at_idle,dB_at_50kmh,dB_at_80kmh,dB_at_100kmh,dB_at_120kmh,dB_at_140kmh,model_id,model_id_cqa,model_make_id_cqa,model_name_cqa,model_trim_cqa,model_year_cqa,model_body_cqa,model_engine_position_cqa,model_engine_cc_cqa,model_engine_cyl_cqa,model_engine_type_cqa,model_engine_valves_per_cyl_cqa,model_engine_power_ps_cqa,model_engine_power_rpm_cqa,model_engine_torque_nm_cqa,model_engine_torque_rpm_cqa,model_engine_bore_mm_cqa,model_engine_stroke_mm_cqa,model_engine_compression_cqa,model_engine_fuel_cqa,model_top_speed_kph_cqa,model_0_to_100_kph_cqa,model_drive_cqa,model_transmission_type_cqa,model_seats_cqa,model_doors_cqa,model_weight_kg_cqa,model_length_mm_cqa,model_width_mm_cqa,model_height_mm_cqa,model_wheelbase_mm_cqa,model_lkm_hwy_cqa,model_lkm_mixed_cqa,model_lkm_city_cqa,model_fuel_cap_l_cqa,model_sold_in_us_cqa,model_co2_cqa,model_make_display_cqa,model_engine_l_cqa,model_engine_ci_cqa,model_engine_bore_in_cqa,model_engine_stroke_in_cqa,model_engine_valves_cqa,model_engine_power_hp_cqa,model_engine_power_kw_cqa,model_engine_torque_lbft_cqa,model_engine_torque_kgm_cqa,model_top_speed_mph_cqa,model_weight_lbs_cqa,model_length_in_cqa,model_width_in_cqa,model_height_in_cqa,model_wheelbase_in_cqa,model_mpg_hwy_cqa,model_mpg_city_cqa,model_mpg_mixed_cqa,model_fuel_cap_g_cqa,make_display_cqa,make_country_cqa,ExtColors_cqa,IntColors_cqa,Model_ID
1.6,43.4,53.4,61.5,65.0,66.8,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,712
1.0,34.4,55.7,60.8,63.9,69.9,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,713
1.4,40.9,55.8,60.5,65.3,66.2,69.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,714
1.4 stationcar,34.3,56.6,60.2,63.7,70.6,70.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,715
1.6 GDI,34.7,56.8,60.6,64.5,68.4,71.8,51053.0,51053.0,hyundai,i40,1.6 GDI,2011.0,Hatchback,Front,1591.0,4.0,in-line,4.0,135.0,6300.0,164.0,4850.0,77.0,85.4,11:01,Gasoline,195.0,11.6,Front,Manual,5.0,5.0,1534.0,4770.0,1815.0,1470.0,2770.0,5.1,6.0,7.6,,0.0,,Hyundai,1.6,97.0,3.03,3.36,16.0,133.0,99.0,121.0,17.0,121.0,3382.0,187.8,71.5,57.9,109.1,46.0,31.0,39.0,,Hyundai,South Korea,,,716
1.6 Stationcar,44.3,54.5,62.7,65.4,68.2,71.4,51054.0,51054.0,hyundai,i40,2.0 GDI,2011.0,Hatchback,Front,1999.0,4.0,in-line,4.0,175.0,6500.0,213.0,4700.0,81.0,97.0,11.5:1,Gasoline,212.0,9.7,Front,Manual,5.0,5.0,1575.0,4770.0,1815.0,1470.0,2770.0,5.9,7.2,9.3,,0.0,,Hyundai,2.0,122.0,3.19,3.82,16.0,173.0,129.0,157.0,22.0,132.0,3472.0,187.8,71.5,57.9,109.1,40.0,25.0,33.0,,Hyundai,South Korea,,,717
1.7 CRDI,45.4,55.9,64.3,67.7,70.0,72.5,51074.0,51074.0,hyundai,i40,1.7 CRDI,2012.0,Hatchback,Front,1685.0,4.0,in-line,4.0,115.0,400.0,260.0,1250.0,77.2,90.0,17:01,Diesel,190.0,12.9,Front,Manual,5.0,5.0,1638.0,4770.0,1815.0,1470.0,2770.0,3.7,4.3,5.3,,0.0,,Hyundai,1.7,103.0,3.04,3.54,16.0,113.0,85.0,192.0,27.0,118.0,3611.0,187.8,71.5,57.9,109.1,64.0,44.0,55.0,,Hyundai,South Korea,,,718
1.6 Stationcar,44.4,56.8,60.6,64.5,68.4,71.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,719
1.7 D,46.6,59.7,63.1,65.7,68.3,71.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,720
1.6 Hybrid,31.5,56.2,60.2,63.3,68.5,70.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,721
EV,45.2,54.7,59.8,63.2,69.6,69.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,722
1.6,34.1,50.1,56.8,66.3,68.7,69.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,723
1.4 CRD,46.0,56.6,65.0,67.2,70.8,74.9,51051.0,51051.0,hyundai,ix20,1.4 CRDI,2011.0,Minivan,Front,1396.0,4.0,in-line,4.0,90.0,4000.0,220.0,1750.0,75.0,79.0,17:01,Diesel,167.0,14.5,Front,Manual,5.0,5.0,1370.0,4100.0,1765.0,1600.0,2615.0,4.2,4.3,4.7,,0.0,,Hyundai,1.4,85.0,2.95,3.11,16.0,89.0,66.0,162.0,22.0,104.0,3020.0,161.4,69.5,63.0,103.0,56.0,50.0,55.0,,Hyundai,South Korea,,,724
1.4 CRDI,46.0,56.6,65.0,67.2,70.8,74.9,51051.0,51051.0,hyundai,ix20,1.4 CRDI,2011.0,Minivan,Front,1396.0,4.0,in-line,4.0,90.0,4000.0,220.0,1750.0,75.0,79.0,17:01,Diesel,167.0,14.5,Front,Manual,5.0,5.0,1370.0,4100.0,1765.0,1600.0,2615.0,4.2,4.3,4.7,,0.0,,Hyundai,1.4,85.0,2.95,3.11,16.0,89.0,66.0,162.0,22.0,104.0,3020.0,161.4,69.5,63.0,103.0,56.0,50.0,55.0,,Hyundai,South Korea,,,725
2.0 CRDI,44.3,58.5,62.9,66.7,68.2,70.5,51039.0,51039.0,hyundai,ix35,2.0 CRDI,2010.0,SUV,Front,1995.0,4.0,in-line,4.0,135.0,4000.0,320.0,1800.0,84.0,90.0,16.5:1,Diesel,,,4WD,Manual,5.0,5.0,1679.0,4410.0,1820.0,1660.0,2640.0,,,,,0.0,,Hyundai,2.0,122.0,3.31,3.54,16.0,133.0,99.0,236.0,33.0,,3702.0,173.6,71.7,65.4,103.9,,,,,Hyundai,South Korea,,,726
1.6 GDI,35.6,55.4,62.6,65.0,68.7,72.0,51076.0,51076.0,hyundai,ix35,1.7 CRDI,2012.0,SUV,Front,1685.0,4.0,in-line,4.0,115.0,400.0,260.0,1250.0,77.2,90.0,17:01,Diesel,,,Front,Manual,5.0,5.0,1537.0,4410.0,1820.0,1660.0,2640.0,,,,,0.0,,Hyundai,1.7,103.0,3.04,3.54,16.0,113.0,85.0,192.0,27.0,,3388.0,173.6,71.7,65.4,103.9,,,,,Hyundai,South Korea,,,727
1.0,34.9,50.0,56.7,65.8,68.2,69.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,728
2.2 CRDI,43.2,53.1,61.1,64.3,66.5,68.9,51040.0,51040.0,hyundai,Santa Fe,2.2 CRDi,2010.0,SUV,Front,2199.0,4.0,in-line,4.0,195.0,3800.0,436.0,1800.0,8.4,96.0,16:01,Diesel,,9.8,4WD,Manual,7.0,5.0,1961.0,4685.0,1890.0,1725.0,2700.0,5.6,6.8,8.8,68.0,0.0,,Hyundai,2.2,134.0,0.33,3.78,16.0,192.0,143.0,322.0,44.0,,4323.0,184.4,74.4,67.9,106.3,42.0,27.0,35.0,18.0,Hyundai,South Korea,,,729
2.0,44.4,54.6,62.8,67.9,68.3,69.0,18281.0,18281.0,hyundai,Sonata,2.4,2009.0,Sedan,Front,2399.0,4.0,in-line,4.0,175.0,6000.0,168.0,4000.0,88.0,97.0,10.5:1,Gasoline - Premium,212.0,9.2,Front,Manual,5.0,4.0,1538.0,4810.0,1840.0,1480.0,2740.0,,8.5,,70.0,1.0,,Hyundai,2.4,146.0,3.46,3.82,16.0,173.0,129.0,124.0,17.0,132.0,3391.0,189.4,72.4,58.3,107.9,,,28.0,18.5,Hyundai,South Korea,,,730
2.4,43.1,55.0,62.3,66.6,68.3,70.1,45165.0,45165.0,hyundai,Sonata,GLS,2011.0,Sedan,Front,2400.0,4.0,in-line,4.0,201.0,6300.0,249.0,4250.0,,,,Gasoline,,,Front,Manual,5.0,4.0,1434.0,4821.0,1834.0,1471.0,2794.0,6.7,,9.8,70.0,1.0,,Hyundai,2.4,146.0,,,16.0,198.0,148.0,184.0,25.0,,3161.0,189.8,72.2,57.9,110.0,35.0,24.0,,18.5,Hyundai,South Korea,,,731
2.0T,38.2,50.0,57.2,61.6,62.8,64.1,45168.0,45168.0,hyundai,Sonata,Limited,2011.0,Sedan,Front,2400.0,4.0,in-line,4.0,203.0,6300.0,249.0,4250.0,,,,Gasoline,,,Front,Automatic,5.0,4.0,,4821.0,1834.0,1471.0,2794.0,6.7,,10.7,70.0,1.0,,Hyundai,2.4,146.0,,,16.0,200.0,149.0,184.0,25.0,,,189.8,72.2,57.9,110.0,35.0,22.0,,18.5,Hyundai,South Korea,,,732
Hybrid,38.4,50.4,57.9,61.6,65.9,70.3,45170.0,45170.0,hyundai,Sonata,Hybrid,2011.0,Sedan,Front,2400.0,4.0,in-line,4.0,209.0,6000.0,,,,,,Gasoline / Electric Hybrid,,,Front,Automatic,5.0,4.0,1580.0,4821.0,1834.0,1466.0,2794.0,5.9,,6.7,65.0,1.0,,Hyundai,2.4,146.0,,,16.0,206.0,154.0,,,,3483.0,189.8,72.2,57.7,110.0,40.0,35.0,,17.2,Hyundai,South Korea,,,733
2.4,40.6,54.4,62.8,67.9,69.3,70.8,45173.0,45173.0,hyundai,Tucson,Limited,2010.0,SUV,Front,2400.0,4.0,in-line,4.0,178.0,6000.0,228.0,4000.0,,,,Gasoline,,,Front,Automatic,5.0,5.0,1511.0,4399.0,1821.0,1684.0,2639.0,7.6,,10.2,55.0,1.0,,Hyundai,2.4,146.0,,,16.0,176.0,131.0,168.0,23.0,,3331.0,173.2,71.7,66.3,103.9,31.0,23.0,,14.5,Hyundai,South Korea,,,734
2.4,43.5,54.2,60.7,64.6,66.1,67.7,59854.0,59854.0,Hyundai,Tucson,SE 4dr SUV (2.4L 4cyl 6A),2014.0,Sport Utility Vehicles,Front,2400.0,4.0,Inline,4.0,182.0,,177.0,,,,11.3,Regular Unleaded,,,Front Wheel Driv,Automatic,,4.0,1494.0,4399.0,,,,28.0,24.0,21.0,58.0,1.0,,Hyundai,2.4,146.0,,,16.0,180.0,134.0,131.0,18.0,,3294.0,173.2,,,,8.0,11.0,10.0,15.3,Hyundai,South Korea,,,735
1.6,33.5,53.8,59.9,62.6,67.0,70.2,62173.0,62173.0,Hyundai,Tucson,Limited 4dr SUV (2.4L 4cyl 6A),2015.0,Sport Utility Vehicles,Front,2400.0,4.0,Inline,4.0,182.0,,177.0,,,,11.3,Regular Unleaded,,,Front Wheel Driv,Automatic,,4.0,3294.0,,,,,28.0,24.0,21.0,15.0,1.0,,Hyundai,2.4,146.0,,,16.0,180.0,134.0,131.0,18.0,,7262.0,,,,,8.0,11.0,10.0,4.0,Hyundai,South Korea,,,736
1.6,33.9,56.8,60.5,64.3,66.2,69.6,67412.0,67412.0,Hyundai,Tucson,Limited 4dr SUV AWD (2.4L 4cyl 6A),2016.0,Sport Utility Vehicles,Front,2400.0,4.0,Inline,4.0,182.0,,177.0,,,,11.3,Regular Unleaded,,,All Wheel Drive,Automatic,,4.0,3439.0,,,,,25.0,22.0,20.0,15.0,1.0,,Hyundai,2.4,146.0,,,16.0,180.0,134.0,131.0,18.0,,7582.0,,,,,9.0,12.0,11.0,4.0,Hyundai,South Korea,,,737
2.0D,48.9,60.8,63.0,65.3,67.2,70.6,67413.0,67413.0,Hyundai,Tucson,Limited PZEV 4dr SUV AWD (2.4L 4cyl 6A),2016.0,Sport Utility Vehicles,Front,2400.0,4.0,Inline,4.0,180.0,,176.0,,,,11.3,Regular Unleaded,,,All Wheel Drive,Automatic,,4.0,3439.0,,,,,25.0,22.0,20.0,15.0,1.0,,Hyundai,2.4,146.0,,,16.0,178.0,132.0,130.0,18.0,,7582.0,,,,,9.0,12.0,11.0,4.0,Hyundai,South Korea,,,738
1.7d,41.1,52.6,59.2,66.3,68.7,71.8,72553.0,72553.0,Hyundai,Tucson,SE 4dr SUV AWD (2.4L 4cyl 6A),2018.0,Sport Utility Vehicles,Front,2400.0,4.0,Inline,4.0,182.0,,177.0,,,,11.3,Regular Unleaded,,,All Wheel Drive,Automatic,,4.0,3439.0,,,,,25.0,22.0,20.0,15.0,1.0,,Hyundai,2.4,146.0,,,16.0,180.0,134.0,131.0,18.0,,7582.0,,,,,9.0,12.0,11.0,4.0,Hyundai,South Korea,,,739
1.6,44.7,55.0,63.3,67.3,68.8,70.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,740
I-Catcher 1.6,45.2,59.2,63.4,66.3,69.7,73.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,741
1.6,39.6,52.7,60.9,65.3,68.6,72.0,57239.0,57239.0,hyundai,Veloster,Automatic,2012.0,Hatchback,Front,1600.0,4.0,in-line,4.0,140.0,6300.0,167.0,4850.0,,,,Gasoline,,,Front,6-speed automatic,5.0,4.0,1172.0,4219.0,1791.0,1400.0,2649.0,5.9,,8.4,50.0,1.0,,Hyundai,1.6,98.0,,,16.0,138.0,103.0,123.0,17.0,,2584.0,166.1,70.5,55.1,104.3,40.0,28.0,,13.2,Hyundai,South Korea,,,742
35,41.7,55.1,63.5,68.0,71.3,74.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,743
37,43.1,53.0,61.0,64.9,66.3,68.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,744
50,49.6,59.7,65.8,69.5,70.8,72.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,745
37,45.0,55.5,62.1,65.4,68.8,72.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,746
37,43.7,53.8,61.9,65.5,67.3,69.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,747
37S Coupe,41.1,60.0,64.0,65.5,68.4,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,748
37 Cabrio,42.8,52.7,60.6,64.4,65.9,67.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,749
25,47.6,55.6,60.7,63.1,66.0,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750
35,41.0,52.0,58.8,62.3,65.6,68.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,751
37,42.9,55.6,63.4,67.8,70.3,72.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,752
30D,44.2,60.1,61.3,64.2,66.6,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,753
37S,44.6,56.5,63.8,67.9,70.2,72.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,754
56S,42.2,53.9,61.2,65.2,67.7,70.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,755
35H,38.5,53.3,57.2,61.3,65.4,67.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,756
35H,42.2,53.0,59.8,63.3,66.4,69.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,757
50,38.4,50.4,57.8,61.9,64.6,67.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,758
50,49.4,56.6,60.4,61.8,65.9,69.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,759
70,44.6,57.5,60.0,63.0,66.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,760
2.0,41.9,56.8,60.5,64.3,66.2,69.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,761
1.5D,45.4,56.3,61.3,64.2,67.8,71.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,762
56,43.3,54.6,61.5,65.6,67.1,68.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,763
60,41.1,51.5,58.0,61.3,64.3,67.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,764
3.7 V6,41.2,53.3,60.6,65.1,66.3,67.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,765
2.0d,42.1,53.1,59.0,65.3,67.7,69.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,766
3.0 V6,40.4,57.3,62.0,64.6,66.0,69.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,767
3.0D,47.9,58.8,61.5,64.3,65.2,68.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,768
2.0d,44.5,53.6,58.6,61.7,68.5,68.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,769
5.0 V8,46.5,55.2,61.0,63.0,68.8,74.6,59905.0,59905.0,Jaguar,F-Type,2dr Convertible (3.0L 6cyl S/C 8A),2014.0,Two Seaters,Front,3000.0,6.0,V,4.0,340.0,,332.0,,,,10.5,Premium Unleaded (Required),,,Rear Wheel Drive,Automatic,,2.0,1597.0,4470.0,,,,28.0,23.0,20.0,72.0,1.0,,Jaguar,3.0,183.0,,,24.0,335.0,250.0,245.0,34.0,,3521.0,176.0,,,,8.0,12.0,10.0,19.0,Jaguar,UK,,,770
5.0 V8,44.9,61.8,65.0,68.3,70.1,73.7,68833.0,68833.0,Jaguar,F-TYPE,2dr Coupe (3.0L 6cyl S/C 8A),2017.0,Two Seaters,Front,3000.0,6.0,V,4.0,340.0,,332.0,,,,10.5,Premium Unleaded (Required),,,Rear Wheel Drive,Automatic,,2.0,3477.0,,,,,28.0,23.0,20.0,19.0,1.0,,Jaguar,3.0,183.0,,,24.0,335.0,250.0,245.0,34.0,,7665.0,,,,,8.0,12.0,10.0,5.0,Jaguar,UK,,,771
2.0D,45.2,56.2,63.1,65.2,67.0,70.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,772
2.0D,43.2,57.7,60.6,63.8,67.7,69.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,773
3.0D,50.8,58.8,61.0,63.3,66.2,69.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,774
2.7d,47.7,55.1,60.1,63.6,66.6,69.6,19232.0,19232.0,jaguar,XF,2.7,2008.0,Sedan,Front,2720.0,6.0,V,4.0,207.0,4000.0,436.0,1900.0,81.0,88.0,,Diesel,229.0,8.2,Rear,Automatic,5.0,4.0,1771.0,4970.0,1880.0,1470.0,2920.0,,7.5,,69.0,1.0,,Jaguar,2.7,166.0,3.19,3.46,24.0,204.0,152.0,322.0,44.0,142.0,3904.0,195.7,74.0,57.9,115.0,,,31.0,18.2,Jaguar,UK,,,775
3.0 V6,40.8,61.4,62.4,64.0,66.7,69.1,19508.0,19508.0,jaguar,XF,4.2,2008.0,Sedan,Front,4196.0,8.0,V,4.0,298.0,6000.0,411.0,4100.0,,,11.0:1,Gasoline - Premium,245.0,6.5,Rear,Automatic,5.0,4.0,1749.0,4970.0,1880.0,1470.0,2920.0,,11.1,,69.0,1.0,,Jaguar,4.2,256.0,,,32.0,294.0,219.0,303.0,42.0,152.0,3856.0,195.7,74.0,57.9,115.0,,,21.0,18.2,Jaguar,UK,,,776
3.0D S,45.4,57.1,61.2,64.0,66.6,69.0,19374.0,19374.0,jaguar,XF,3.0 V6,2009.0,Sedan,Front,2967.0,6.0,V,4.0,238.0,6000.0,293.0,4100.0,89.0,79.5,10.5:1,Gasoline,237.0,8.6,Rear,Automatic,5.0,4.0,1679.0,4970.0,1470.0,1470.0,2920.0,,10.8,,70.0,1.0,,Jaguar,3.0,181.0,3.5,3.13,24.0,235.0,175.0,216.0,30.0,147.0,3702.0,195.7,57.9,57.9,115.0,,,22.0,18.5,Jaguar,UK,,,777
3.0 V6,44.4,54.6,62.8,66.5,68.3,70.5,45200.0,45200.0,jaguar,XF,Premium,2010.0,Sedan,Front,5000.0,8.0,V,4.0,390.0,6500.0,515.0,3500.0,,,,Gasoline,,,Rear,Automatic,5.0,4.0,1845.0,4961.0,1877.0,1461.0,2908.0,10.2,,14.7,70.0,1.0,,Jaguar,5.0,305.0,,,32.0,385.0,287.0,380.0,53.0,,4067.0,195.3,73.9,57.5,114.5,23.0,16.0,,18.5,Jaguar,UK,,,778
2.2 D,43.0,52.9,60.8,64.8,66.1,67.8,51103.0,51103.0,jaguar,XF,2.2 Diesel,2011.0,Sedan,Front,2200.0,4.0,in-line,4.0,190.0,,450.0,,,,,Diesel,,8.0,Rear,6-speed shiftable automatic,5.0,4.0,,4961.0,1877.0,1461.0,2908.0,,5.4,,70.0,0.0,,Jaguar,2.2,134.0,,,16.0,187.0,140.0,332.0,46.0,,,195.3,73.9,57.5,114.5,,,44.0,18.5,Jaguar,UK,,,779
2.2D,43.0,52.9,60.8,64.8,66.1,67.8,45205.0,45205.0,jaguar,XF,Supercharged,2011.0,Sedan,Front,5000.0,8.0,V,4.0,477.0,6000.0,574.0,2500.0,,,,Gasoline,,,Rear,Automatic,5.0,4.0,1953.0,4961.0,1877.0,1461.0,2908.0,,,,70.0,1.0,,Jaguar,5.0,305.0,,,32.0,470.0,351.0,423.0,59.0,,4306.0,195.3,73.9,57.5,114.5,,,,18.5,Jaguar,UK,,,780
2.0,44.2,59.5,63.0,64.0,66.0,68.0,67034.0,67034.0,Jaguar,XF,Portfolio 4dr Sedan AWD (3.0L 6cyl S/C 8A),2016.0,Midsize Cars,Front,3000.0,6.0,V,4.0,340.0,,332.0,,,,10.5,Premium Unleaded (Required),,,All Wheel Drive,Automatic,,4.0,4145.0,,,,,27.0,20.0,17.0,18.0,1.0,,Jaguar,3.0,183.0,,,24.0,335.0,250.0,245.0,34.0,,9138.0,,,,,9.0,14.0,12.0,4.8,Jaguar,UK,,,781
3.0D,48.1,57.2,60.7,64.3,67.3,70.7,67037.0,67037.0,Jaguar,XF,XFR-S 4dr Sedan (5.0L 8cyl S/C 8A),2016.0,Midsize Cars,Front,5000.0,8.0,V,4.0,550.0,,502.0,,,,9.5,Premium Unleaded (Required),,,Rear Wheel Drive,Automatic,,4.0,4380.0,,,,,23.0,18.0,15.0,18.0,1.0,,Jaguar,5.0,305.0,,,32.0,542.0,405.0,370.0,51.0,,9656.0,,,,,10.0,16.0,13.0,4.8,Jaguar,UK,,,782
2.0d,45.2,54.5,58.3,62.6,68.9,69.0,69605.0,69605.0,Jaguar,XF,Sport 4dr Sedan (3.0L 6cyl S/C 8A),2017.0,Midsize Cars,Front,3000.0,6.0,V,4.0,340.0,,332.0,,,,10.5,Premium Unleaded (Required),,,Rear Wheel Drive,Automatic,,4.0,3902.0,,,,,28.0,22.0,18.0,18.0,1.0,,Jaguar,3.0,183.0,,,24.0,335.0,250.0,245.0,34.0,,8602.0,,,,,8.0,13.0,11.0,4.8,Jaguar,UK,,,783
5.0 V8 Supercharged,45.6,56.3,62.9,66.6,68.7,70.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,784
 ,47.0,57.3,63.6,67.3,68.7,70.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,785
3.0D V6,43.5,53.5,61.5,64.6,67.0,69.6,47633.0,47633.0,jaguar,XJ,4.2 Super V8,2010.0,Sedan,Front,4196.0,8.0,V,4.0,406.0,6100.0,560.0,3500.0,,,9.1:1,Gasoline,250.0,5.3,Rear,Automatic,5.0,4.0,1734.0,5220.0,1950.0,1460.0,3170.0,10.8,13.2,15.8,84.0,1.0,,Jaguar,4.2,256.0,,,32.0,400.0,299.0,413.0,57.0,155.0,3823.0,205.5,76.8,57.5,124.8,22.0,15.0,18.0,22.2,Jaguar,UK,,,786
5.0 V8 LWB,39.9,59.0,61.0,62.7,66.6,68.0,47631.0,47631.0,jaguar,XJ,3,2010.0,Sedan,Front,2966.0,6.0,V,4.0,238.0,6800.0,293.0,4100.0,89.0,79.5,10.5:1,Gasoline - Premium,225.0,8.1,Rear,Automatic,5.0,4.0,1614.0,5100.0,1870.0,1450.0,3040.0,,10.4,,85.0,1.0,,Jaguar,3.0,181.0,3.5,3.13,24.0,235.0,175.0,216.0,30.0,140.0,3558.0,200.8,73.6,57.1,119.7,,,23.0,22.5,Jaguar,UK,,,787
5.0 V8,40.6,50.3,56.5,59.2,63.3,67.5,59919.0,59919.0,Jaguar,XJ,XJR LWB 4dr Sedan (5.0L 8cyl S/C 8A),2014.0,Large Cars,Front,5000.0,8.0,V,4.0,550.0,,502.0,,,,9.5,Premium Unleaded (Required),,,Rear Wheel Drive,Automatic,,4.0,1880.0,5253.0,,,,23.0,18.0,15.0,82.0,1.0,,Jaguar,5.0,305.0,,,32.0,542.0,405.0,370.0,51.0,,4145.0,206.8,,,,10.0,16.0,13.0,21.7,Jaguar,UK,,,788
3.5 V6,43.0,53.0,60.9,64.7,66.2,68.1,19284.0,19284.0,jaguar,XK,4.2,2008.0,Coupe,Front,4200.0,8.0,V,4.0,304.0,6000.0,421.0,4100.0,86.0,90.3,,Gasoline,249.0,6.3,Rear,Automatic,4.0,2.0,1735.0,4800.0,1900.0,1340.0,2760.0,,11.3,,70.0,1.0,,Jaguar,4.2,256.0,3.39,3.56,32.0,300.0,224.0,311.0,43.0,155.0,3825.0,189.0,74.8,52.8,108.7,,,21.0,18.5,Jaguar,UK,,,789
